Name;Post_Contract;Year;Age;Tm;G;GS;Start%;QBrec;Wins;Win%;Cmp;Att;Cmp%;Yds;TD;TD%;Int;Int%;1D;Lng;Y/A;AY/A;Y/C;Y/G;Rate;Sk;Yds;NY/A;ANY/A;Sk%;4QC;GWD;Rush;Rush Yds;Rush TDs;Rush 1D;Rush Y/A;Rush Y/G;Rush A/G;Division championships;P/O appearances;SB appearances;SB wins
Donovan McNabb;0;1999;23;PHI;12;6;38%;2-4-0;2;33%;106;216;49%;948;8;3.7;7;3.2;55;63;4.4;3.7;8.9;79;60.1;28;204;3.05;2.41;11.5;1;2;47;313;0;18;6.7;26.1;3.9;0;0;0;0
Donovan McNabb;0;2000*;24;PHI;16;16;100%;11-5-0;11;69%;330;569;58%;3365;21;3.7;13;2.3;181;70;5.9;5.6;10.2;210.3;77.8;45;262;5.05;4.79;7.3;2;3;86;629;6;32;7.3;39.3;5.4;0;1;0;0
Donovan McNabb;0;2001*;25;PHI;16;16;100%;11-5-0;11;69%;285;493;58%;3233;25;5.1;12;2.4;134;64;6.6;6.5;11.3;202.1;84.3;39;273;5.56;5.49;7.3;2;2;82;482;2;28;5.9;30.1;5.1;1;1;0;0
Donovan McNabb;1;2002*;26;PHI;10;10;63%;7-3-0;7;70%;211;361;58%;2289;17;4.7;6;1.7;108;59;6.3;6.5;10.8;228.9;86;28;166;5.46;5.64;7.2;0;1;63;460;6;35;7.3;46;6.3;1;1;0;0
Donovan McNabb;1;2003*;27;PHI;16;16;100%;12-4-0;12;75%;275;478;58%;3216;16;3.3;11;2.3;153;59;6.7;6.4;11.7;201;79.6;43;253;5.69;5.35;8.3;2;4;71;355;3;27;5;22.2;4.4;1;1;0;0
Donovan McNabb;1;2004*;28;PHI;15;15;94%;13-2-0;13;87%;300;469;64%;3875;31;6.6;8;1.7;174;80;8.3;8.8;12.9;258.3;104.7;32;192;7.35;7.87;6.4;2;2;41;220;3;12;5.4;14.7;2.7;1;1;1;0
Donovan McNabb;1;2005;29;PHI;9;9;56%;4-5-0;4;44%;211;357;59%;2507;16;4.5;9;2.5;116;91;7;6.8;11.9;278.6;85;19;112;6.37;6.14;5.1;0;2;25;55;1;7;2.2;6.1;2.8;0;0;0;0
Donovan McNabb;1;2006;30;PHI;10;10;63%;5-5-0;5;50%;180;316;57%;2647;18;5.7;6;1.9;112;87;8.4;8.7;14.7;264.7;95.5;21;140;7.44;7.71;6.2;0;1;32;212;3;15;6.6;21.2;3.2;1;1;0;0
Donovan McNabb;1;2007;31;PHI;14;14;88%;8-6-0;8;57%;291;473;62%;3324;19;4;7;1.5;154;75;7;7.2;11.4;237.4;89.9;44;227;5.99;6.12;8.5;1;1;50;236;0;17;4.7;16.9;3.6;0;0;0;0
Donovan McNabb;1;2008;32;PHI;16;16;100%; 9-6-1;9;56%;345;571;60%;3916;23;4;11;1.9;195;90;6.9;6.8;11.4;244.8;86.4;23;149;6.34;6.28;3.9;2;1;39;147;2;11;3.8;9.2;2.4;0;1;0;0
Donovan McNabb;1;2009*;33;PHI;14;14;88%;10-4-0;10;71%;267;443;60%;3553;22;5;10;2.3;141;60;8;8;13.3;253.8;92.9;35;264;6.88;6.86;7.3;2;3;37;140;2;11;3.8;10;2.6;0;1;0;0
